bairro,cidade,preco,dados,referencia,tipo
"BARCELONA","SAO CAETANO DO SUL","R$ 650.000,00","3 dormitórios - 1 suíte - 2 vagas - 199,00 m² de área construída - 150,00 m² de terreno","Ref.: 60117","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 590.000,00","2 dormitórios - 170,00 m² de área construída - 86,20 m² de terreno","Ref.: 62360","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 4 vagas - 286,00 m² de área construída - 197,00 m² de terreno","Ref.: 61385","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 291,28 m² de área construída - 320,00 m² de terreno","Ref.: 62306","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 185,00 m² de área construída - 188,50 m² de terreno","Ref.: 61883","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.050.000,00","3 dormitórios - 1 suíte - 4 vagas - 341,00 m² de área construída - 175,00 m² de terreno","Ref.: 61754","CASA ASSOBRADADA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","4 dormitórios - 1 suíte - 7 vagas - 208,00 m² de área construída - 138,70 m² de terreno","Ref.: 62035","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 640.000,00","3 dormitórios - 4 vagas - 170,00 m² de área construída - 150,00 m² de terreno","Ref.: 61700","CASA"
"CERAMICA","SAO CAETANO DO SUL","R$ 1.400.000,00","3 dormitórios - 4 vagas - 300,00 m² de área construída - 322,00 m² de terreno","Ref.: 61825","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,00 m² de terreno","Ref.: 59801","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62188","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 990.000,00","3 dormitórios - 1 suíte - 8 vagas - 347,00 m² de área construída - 290,00 m² de terreno","Ref.: 60508","SOBRADO"
"SANTO ANTONIO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 2 vagas - 150,00 m² de área construída - 100,00 m² de terreno","Ref.: 62015","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.600.000,00","3 dormitórios - 6 vagas - 130,00 m² de área construída - 500,00 m² de terreno","Ref.: 61852","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 660.000,00","2 dormitórios - 1 suíte - 3 vagas - 300,00 m² de terreno","Ref.: 62365","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 2.400.000,00","4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno","Ref.: 60649","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.050.000,00","2 dormitórios - 1 vaga - 176,00 m² de área construída - 200,00 m² de terreno","Ref.: 61274","CASA TERREA"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 2 vagas - 250,00 m² de terreno","Ref.: 61042","CASA ASSOBRADADA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.080.000,00","3 dormitórios - 1 suíte - 5 vagas - 230,00 m² de área construída - 380,00 m² de terreno","Ref.: 62184","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 500.000,00","2 dormitórios - 1 suíte - 3 vagas - 100,00 m² de área construída - 154,00 m² de terreno","Ref.: 62292","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62085","SOBRADO"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 480.000,00","2 dormitórios - 2 vagas - 122,00 m² de área construída - 110,71 m² de terreno","Ref.: 61941","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","2 dormitórios - 4 vagas - 200,00 m² de área construída - 500,00 m² de terreno","Ref.: 60873","CASA"
